Date,Open,High,Low,Price,Vol
2024-11-01,0.5095,0.5244,0.5022,0.513,844387440.1
2024-11-02,0.513,0.5161,0.5061,0.5103,249371283.3
2024-11-03,0.5103,0.5111,0.4914,0.5029,595383409.5
2024-11-04,0.5029,0.5146,0.4955,0.5032,596924915.8
2024-11-05,0.5032,0.5188,0.5016,0.514,512641289.4
2024-11-06,0.514,0.5471,0.5139,0.5421,1152595914.9
2024-11-07,0.5422,0.5786,0.538,0.5559,1192827865.3
2024-11-08,0.5559,0.5604,0.5415,0.5541,726142322.3
2024-11-09,0.554,0.5625,0.5435,0.5596,669763048.0
2024-11-10,0.5596,0.6193,0.5559,0.5888,2225216082.1
2024-11-11,0.5888,0.634,0.5706,0.6216,2237371621.6
2024-11-12,0.6217,0.7404,0.5972,0.7048,6224671274.2
2024-11-13,0.7048,0.7491,0.6408,0.6901,4167165476.3
2024-11-14,0.6901,0.8478,0.6827,0.7741,4729105444.8
2024-11-15,0.7741,0.9283,0.7705,0.8924,5745756328.7
2024-11-16,0.8925,1.27,0.8782,1.122,8845498188.7
2024-11-17,1.1219,1.1612,1.0048,1.055,4633147046.2
2024-11-18,1.0551,1.1874,1.0551,1.1151,3843805877.3
2024-11-19,1.115,1.1492,1.0692,1.1012,2207225694.5
2024-11-20,1.1012,1.152,1.0561,1.1045,2339322679.7
2024-11-21,1.1045,1.2663,1.0771,1.2477,3446934273.4
2024-11-22,1.2478,1.5036,1.2474,1.4739,6120042748.9
2024-11-23,1.4739,1.635,1.4136,1.4697,3803475658.2
2024-11-24,1.4698,1.514,1.2795,1.4334,3210481005.3
2024-11-25,1.4335,1.54,1.3561,1.4151,3377460531.4
2024-11-26,1.415,1.4588,1.2848,1.3993,2914599022.7
2024-11-27,1.3992,1.5233,1.3527,1.4709,2148076942.2
2024-11-28,1.4709,1.548,1.4309,1.5431,1539112331.8
2024-11-29,1.543,1.8162,1.5242,1.8019,3762199435.6
2024-11-30,1.8019,1.9593,1.7655,1.953,3850463492.6
2024-12-01,1.9529,2.3549,1.8472,2.2942,4292474495.8
2024-12-02,2.2942,2.8767,2.2168,2.7243,9044623069.7
2024-12-03,2.7242,2.916,2.286,2.5127,7072280505.4
2024-12-04,2.5127,2.6859,2.281,2.36,3480538457.2
2024-12-05,2.3599,2.4966,2.18,2.2455,3743370865.0
2024-12-06,2.2454,2.465,2.2275,2.4266,2289916327.8
2024-12-07,2.4267,2.6227,2.3851,2.612,1781723598.0
2024-12-08,2.6119,2.6488,2.4858,2.6031,1526513193.2
2024-12-09,2.603,2.609,2.01,2.2122,3259621093.9
2024-12-10,2.2122,2.415,1.9001,2.3688,4445745655.9
2024-12-11,2.3688,2.4698,2.2296,2.3939,2235328101.2
2024-12-12,2.3938,2.4841,2.3064,2.3377,1785013770.3
2024-12-13,2.3376,2.4799,2.2825,2.422,1474408852.9
2024-12-14,2.4219,2.5324,2.3534,2.3997,1331257042.4
2024-12-15,2.3998,2.4735,2.3652,2.4473,980335646.6
2024-12-16,2.4473,2.5868,2.3262,2.4847,1881615964.5
2024-12-17,2.4847,2.7289,2.44,2.5655,2483788887.1
2024-12-18,2.5655,2.5919,2.2313,2.309,2530353475.0
2024-12-19,2.3089,2.4299,2.16,2.2386,2798330259.5
2024-12-20,2.2386,2.3558,1.9602,2.2786,3221135753.4
2024-12-21,2.2787,2.3858,2.1917,2.2374,1491882345.7
2024-12-22,2.2374,2.2933,2.1597,2.2025,1050666366.4
2024-12-23,2.2025,2.2784,2.1302,2.2611,1332334177.4
2024-12-24,2.2612,2.35,2.213,2.3224,863207625.6
2024-12-25,2.3224,2.3322,2.2601,2.2968,559376354.8
2024-12-26,2.2968,2.3161,2.1267,2.1549,942131925.1
2024-12-27,2.1549,2.2365,2.1128,2.1454,957056417.2
2024-12-28,2.1454,2.2074,2.1333,2.1836,419466547.3
2024-12-29,2.1836,2.1974,2.0695,2.0926,500532926.8
